,Text,cleansing,case_folding,normalize_text,tokenization,stopword_removal,Translated
10,"udah vaksin koq masih kena covid....??!!
atau jangan jangan karna efek samping vaksin tersebut....banyak teman saya yg mati mendadak di usia muda anehnya semua nya sudah vaksin lengkap....dan saya sndiri dari awal plandemi gak vaksin alkhamdulillah sehat smpai skarang",udah vaksin koq masih kena covid atau jangan jangan karna efek samping vaksin tersebut banyak teman saya yg mati mendadak di usia muda anehnya semua nya sudah vaksin lengkap dan saya sndiri dari awal plandemi gak vaksin alkhamdulillah sehat smpai skarang,udah vaksin koq masih kena covid atau jangan jangan karna efek samping vaksin tersebut banyak teman saya yg mati mendadak di usia muda anehnya semua nya sudah vaksin lengkap dan saya sndiri dari awal plandemi gak vaksin alkhamdulillah sehat smpai skarang,sudah vaksin kok masih kena covid atau jangan jangan karena efek samping vaksin tersebut banyak teman saya yang mati mendadak di usia muda anehnya semua nya sudah vaksin lengkap dan saya sndiri dari awal plandemi gak vaksin alkhamdulillah sehat sampai skarang,"['sudah', 'vaksin', 'kok', 'masih', 'kena', 'covid', 'atau', 'jangan', 'jangan', 'karena', 'efek', 'samping', 'vaksin', 'tersebut', 'banyak', 'teman', 'saya', 'yang', 'mati', 'mendadak', 'di', 'usia', 'muda', 'anehnya', 'semua', 'nya', 'sudah', 'vaksin', 'lengkap', 'dan', 'saya', 'sndiri', 'dari', 'awal', 'plandemi', 'gak', 'vaksin', 'alkhamdulillah', 'sehat', 'sampai', 'skarang']","['vaksin', 'kok', 'kena', 'covid', 'jangan', 'jangan', 'efek', 'samping', 'vaksin', 'tersebut', 'banyak', 'teman', 'mati', 'mendadak', 'usia', 'muda', 'anehnya', 'semua', 'nya', 'vaksin', 'lengkap', 'sndiri', 'awal', 'plandemi', 'gak', 'vaksin', 'alkhamdulillah', 'sehat', 'skarang']","i have been vaccinated, how come i still get covid or don't because of the side effects of the vaccine, many of my friends died suddenly at a young age, oddly enough, all of them have been fully vaccinated and i myself was not vaccinated from the start, thank god, i am healthy until now"
11,"@nd0r06B2959GQ klo efek vaksin mah, gak pake sempet ke RS mas, setelah beberapa tahun baru ngepek. langsung muter2 kejang.. selesai.

tapi itu klo vaksin ori, klo placebo ya aman.", klo efek vaksin mah gak pake sempet ke RS mas setelah beberapa tahun baru ngepek langsung kejang selesai tapi itu klo vaksin ori klo placebo ya aman , klo efek vaksin mah gak pake sempet ke rs mas setelah beberapa tahun baru ngepek langsung kejang selesai tapi itu klo vaksin ori klo placebo ya aman ,kalau efek vaksin mah gak pake sempet ke rs mas setelah beberapa tahun baru ngepek langsung kejang selesai tapi itu kalau vaksin ori kalau placebo ya aman,"['kalau', 'efek', 'vaksin', 'mah', 'gak', 'pake', 'sempet', 'ke', 'rs', 'mas', 'setelah', 'beberapa', 'tahun', 'baru', 'ngepek', 'langsung', 'kejang', 'selesai', 'tapi', 'itu', 'kalau', 'vaksin', 'ori', 'kalau', 'placebo', 'ya', 'aman']","['kalau', 'efek', 'vaksin', 'mah', 'gak', 'pake', 'sempet', 'rs', 'mas', 'beberapa', 'tahun', 'baru', 'ngepek', 'langsung', 'kejang', 'selesai', 'kalau', 'vaksin', 'ori', 'kalau', 'placebo', 'aman']","as for the effect of the vaccine, i didn't use it, i went to the hospital, bro, after a few years i just had a seizure, the seizure was over, but if the vaccine is original, if it's a placebo, it's safe"
12,"Mangkanya kenapa hewan peliharaan itu harus vaksin rabies itu ini, efek nya bisa bikin meninggal dunia. Kalau abis di gigit anjing rabies harus langsung di suntik pake vaksin anti rabies dan itu gak bisa cuman sekali",Mangkanya kenapa hewan peliharaan itu harus vaksin rabies itu ini efek nya bisa bikin meninggal dunia Kalau abis di gigit anjing rabies harus langsung di suntik pake vaksin anti rabies dan itu gak bisa cuman sekali,mangkanya kenapa hewan peliharaan itu harus vaksin rabies itu ini efek nya bisa bikin meninggal dunia kalau abis di gigit anjing rabies harus langsung di suntik pake vaksin anti rabies dan itu gak bisa cuman sekali,mangkanya kenapa hewan peliharaan itu harus vaksin rabies itu ini efek nya bisa bikin meninggal dunia kalau habis di gigit anjing rabies harus langsung di suntik pake vaksin anti rabies dan itu gak bisa cuman sekali,"['mangkanya', 'kenapa', 'hewan', 'peliharaan', 'itu', 'harus', 'vaksin', 'rabies', 'itu', 'ini', 'efek', 'nya', 'bisa', 'bikin', 'meninggal', 'dunia', 'kalau', 'habis', 'di', 'gigit', 'anjing', 'rabies', 'harus', 'langsung', 'di', 'suntik', 'pake', 'vaksin', 'anti', 'rabies', 'dan', 'itu', 'gak', 'bisa', 'cuman', 'sekali']","['mangkanya', 'hewan', 'peliharaan', 'vaksin', 'rabies', 'efek', 'nya', 'bikin', 'meninggal', 'dunia', 'kalau', 'habis', 'gigit', 'anjing', 'rabies', 'langsung', 'suntik', 'pake', 'vaksin', 'anti', 'rabies', 'gak', 'cuman', 'sekali']","so, why do pets need the rabies vaccine, the effect can be fatal. if it's bitten by a rabid dog, it has to be injected directly with an anti-rabies vaccine, and it can't be done just once."
13,"@deantibuzzer @asumsico Gak ngaruh. Kalau karna efek vaksin, itu yg mau nikah biasanya di tes HIV dulu dan banyak yg negatif.

Baca-baca dulu penyebabnya dan penularannya, jangan dikit-dikit nyalahin vaksin.", Gak ngaruh Kalau karna efek vaksin itu yg mau nikah biasanya di tes HIV dulu dan banyak yg negatif Baca baca dulu penyebabnya dan penularannya jangan dikit dikit nyalahin vaksin , gak ngaruh kalau karna efek vaksin itu yg mau nikah biasanya di tes hiv dulu dan banyak yg negatif baca baca dulu penyebabnya dan penularannya jangan dikit dikit nyalahin vaksin ,gak ngaruh kalau karena efek vaksin itu yang mau nikah biasanya di tes hiv dulu dan banyak yang negatif baca baca dulu penyebabnya dan penularannya jangan dikit dikit nyalahin vaksin,"['gak', 'ngaruh', 'kalau', 'karena', 'efek', 'vaksin', 'itu', 'yang', 'mau', 'nikah', 'biasanya', 'di', 'tes', 'hiv', 'dulu', 'dan', 'banyak', 'yang', 'negatif', 'baca', 'baca', 'dulu', 'penyebabnya', 'dan', 'penularannya', 'jangan', 'dikit', 'dikit', 'nyalahin', 'vaksin']","['gak', 'ngaruh', 'kalau', 'efek', 'vaksin', 'mau', 'nikah', 'biasanya', 'tes', 'hiv', 'dulu', 'banyak', 'negatif', 'baca', 'baca', 'dulu', 'penyebabnya', 'penularannya', 'jangan', 'dikit', 'dikit', 'nyalahin', 'vaksin']","it doesn't matter if it's because of the effect of the vaccine those who want to get married usually get an hiv test first and many are negative. read first, read the cause and transmission, don't blame the vaccine a little"
14,"Ndak ada efek samping penis dlm 3 minggu, di anak sy, bertambah panjangnya 1 cm.
hanya pas disuntiknya
 ( di lengan ya, bukan di penis), itu sakitnya lumayan, lebih sakit dr pd suntik vaksin, krn suspensinya lbh kental. 
Anak sy sampe msh nangis pas di mobil saat perjalanan plg.",Ndak ada efek samping penis dlm minggu di anak sy bertambah panjangnya cm hanya pas disuntiknya di lengan ya bukan di penis itu sakitnya lumayan lebih sakit dr pd suntik vaksin krn suspensinya lbh kental Anak sy sampe msh nangis pas di mobil saat perjalanan plg ,ndak ada efek samping penis dlm minggu di anak sy bertambah panjangnya cm hanya pas disuntiknya di lengan ya bukan di penis itu sakitnya lumayan lebih sakit dr pd suntik vaksin krn suspensinya lbh kental anak sy sampe msh nangis pas di mobil saat perjalanan plg ,gak ada efek samping penis dlm minggu di anak saya bertambah panjangnya cuma hanya pas disuntiknya di lengan ya bukan di penis itu sakitnya lumayan lebih sakit dr pada suntik vaksin karena suspensinya lbh kental anak saya sampe masih nangis pas di mobil saat perjalanan plg,"['gak', 'ada', 'efek', 'samping', 'penis', 'dlm', 'minggu', 'di', 'anak', 'saya', 'bertambah', 'panjangnya', 'cuma', 'hanya', 'pas', 'disuntiknya', 'di', 'lengan', 'ya', 'bukan', 'di', 'penis', 'itu', 'sakitnya', 'lumayan', 'lebih', 'sakit', 'dr', 'pada', 'suntik', 'vaksin', 'karena', 'suspensinya', 'lbh', 'kental', 'anak', 'saya', 'sampe', 'masih', 'nangis', 'pas', 'di', 'mobil', 'saat', 'perjalanan', 'plg']","['gak', 'efek', 'samping', 'penis', 'dlm', 'minggu', 'anak', 'bertambah', 'panjangnya', 'cuma', 'pas', 'disuntiknya', 'lengan', 'bukan', 'penis', 'sakitnya', 'lumayan', 'lebih', 'sakit', 'dr', 'suntik', 'vaksin', 'suspensinya', 'lbh', 'kental', 'anak', 'sampe', 'nangis', 'pas', 'mobil', 'perjalanan', 'plg']","there are no side effects on my son's penis in a week that has increased in length, only when i inject it in the arm, not in the penis, the pain is quite painful compared to injecting the vaccine because the suspension is thicker, my child is still crying in the car when i go home"
15,"@StopPlandemit Efek terlalu cinta vaksin 😂
apapun penyakitnya solusinya adalah vaksin 🤣", Efek terlalu cinta vaksin apapun penyakitnya solusinya adalah vaksin , efek terlalu cinta vaksin apapun penyakitnya solusinya adalah vaksin ,efek terlalu cinta vaksin apapun penyakitnya solusinya adalah vaksin,"['efek', 'terlalu', 'cinta', 'vaksin', 'apapun', 'penyakitnya', 'solusinya', 'adalah', 'vaksin']","['efek', 'terlalu', 'cinta', 'vaksin', 'apapun', 'penyakitnya', 'solusinya', 'vaksin']","the effect of too much love for vaccines, whatever the disease, the solution is vaccines"
16,"Apakah ada efek samping Vaksin Influenza untuk pasien Diabetes? 

Tidak ada efek samping pada penderita Diabetes jika melakukan Vaksin Influenza, sama saja dengan yang lain

#KenapaHarusVaksin",Apakah ada efek samping Vaksin Influenza untuk pasien Diabetes Tidak ada efek samping pada penderita Diabetes jika melakukan Vaksin Influenza sama saja dengan yang lain ,apakah ada efek samping vaksin influenza untuk pasien diabetes tidak ada efek samping pada penderita diabetes jika melakukan vaksin influenza sama saja dengan yang lain ,apakah ada efek samping vaksin influenza untuk pasien diabetes tidak ada efek samping pada penderita diabetes jika melakukan vaksin influenza sama saja dengan yang lain,"['apakah', 'ada', 'efek', 'samping', 'vaksin', 'influenza', 'untuk', 'pasien', 'diabetes', 'tidak', 'ada', 'efek', 'samping', 'pada', 'penderita', 'diabetes', 'jika', 'melakukan', 'vaksin', 'influenza', 'sama', 'saja', 'dengan', 'yang', 'lain']","['efek', 'samping', 'vaksin', 'influenza', 'pasien', 'diabetes', 'efek', 'samping', 'penderita', 'diabetes', 'melakukan', 'vaksin', 'influenza', 'sama']",are there any side effects of the influenza vaccine for diabetic patients? there are no side effects for diabetics if the influenza vaccine is the same as the others
17,"@Kopi_laut @alfarabi_alva Banyak negara2 di Afrika yg gak vaksin dan mereka terbebas dr pandemi dan efek samping dr vaksin, tp pemimpinnya jg banyak yg dibunuh dan dikudeta krn melawan agenda Globalist ‼️😎
https://t.co/h8wGLj6sSK", Banyak di Afrika yg gak vaksin dan mereka terbebas dr pandemi dan efek samping dr vaksin tp pemimpinnya jg banyak yg dibunuh dan dikudeta krn melawan agenda Globalist https t co , banyak di afrika yg gak vaksin dan mereka terbebas dr pandemi dan efek samping dr vaksin tp pemimpinnya jg banyak yg dibunuh dan dikudeta krn melawan agenda globalist https t co ,banyak di afrika yang gak vaksin dan mereka terbebas dr pandemi dan efek samping dr vaksin tp pemimpinnya jg banyak yang dibunuh dan dikudeta karena melawan agenda globalist https t co,"['banyak', 'di', 'afrika', 'yang', 'gak', 'vaksin', 'dan', 'mereka', 'terbebas', 'dr', 'pandemi', 'dan', 'efek', 'samping', 'dr', 'vaksin', 'tp', 'pemimpinnya', 'jg', 'banyak', 'yang', 'dibunuh', 'dan', 'dikudeta', 'karena', 'melawan', 'agenda', 'globalist', 'https', 't', 'co']","['banyak', 'afrika', 'gak', 'vaksin', 'terbebas', 'dr', 'pandemi', 'efek', 'samping', 'dr', 'vaksin', 'tp', 'pemimpinnya', 'jg', 'banyak', 'dibunuh', 'dikudeta', 'melawan', 'agenda', 'globalist', 'https', 't', 'co']",many in africa are not vaccinated and they are free from the pandemic and the side effects of vaccines but many leaders have also been killed and in coups because they are against the globalist agenda https t co
18,Mulai sekrg jgn buang kulit bawang &gt; mengandung quercetin yg bisa membantu memperbaiki tubuh dari efek vaksin maupun shedding. Bikin awet muda juga 🤭 copas Herbalis,Mulai sekrg jgn buang kulit bawang gt mengandung quercetin yg bisa membantu memperbaiki tubuh dari efek vaksin maupun shedding Bikin awet muda juga copas Herbalis,mulai sekrg jgn buang kulit bawang gt mengandung quercetin yg bisa membantu memperbaiki tubuh dari efek vaksin maupun shedding bikin awet muda juga copas herbalis,mulai sekarang jangan buang kulit bawang gitu mengandung quercetin yang bisa membantu memperbaiki tubuh dari efek vaksin maupun shedding bikin awet muda juga copas herbalis,"['mulai', 'sekarang', 'jangan', 'buang', 'kulit', 'bawang', 'gitu', 'mengandung', 'quercetin', 'yang', 'bisa', 'membantu', 'memperbaiki', 'tubuh', 'dari', 'efek', 'vaksin', 'maupun', 'shedding', 'bikin', 'awet', 'muda', 'juga', 'copas', 'herbalis']","['mulai', 'sekarang', 'jangan', 'buang', 'kulit', 'bawang', 'gitu', 'mengandung', 'quercetin', 'membantu', 'memperbaiki', 'tubuh', 'efek', 'vaksin', 'maupun', 'shedding', 'bikin', 'awet', 'muda', 'copas', 'herbalis']","from now on, don't throw away the onion skins, it contains quercetin which can help repair the body from the effects of vaccines and shedding to keep you young as well as copas herbalis"
19,"@Randy_ynwa @recehtapisayng keparahan infeksi pasca gigitan bisa dikurangi lewat suntikan vaksin, namun efek suntikan tsb, tergantung posisi luka gigitan dan keparahan hewan yg menggigitnya.", keparahan infeksi pasca gigitan bisa dikurangi lewat suntikan vaksin namun efek suntikan tsb tergantung posisi luka gigitan dan keparahan hewan yg menggigitnya , keparahan infeksi pasca gigitan bisa dikurangi lewat suntikan vaksin namun efek suntikan tsb tergantung posisi luka gigitan dan keparahan hewan yg menggigitnya ,keparahan infeksi pasca gigitan bisa dikurangi lewat suntikan vaksin namun efek suntikan tsb tergantung posisi luka gigitan dan keparahan hewan yang menggigitnya,"['keparahan', 'infeksi', 'pasca', 'gigitan', 'bisa', 'dikurangi', 'lewat', 'suntikan', 'vaksin', 'namun', 'efek', 'suntikan', 'tsb', 'tergantung', 'posisi', 'luka', 'gigitan', 'dan', 'keparahan', 'hewan', 'yang', 'menggigitnya']","['keparahan', 'infeksi', 'pasca', 'gigitan', 'dikurangi', 'lewat', 'suntikan', 'vaksin', 'efek', 'suntikan', 'tsb', 'tergantung', 'posisi', 'luka', 'gigitan', 'keparahan', 'hewan', 'menggigitnya']","the severity of the post-bite infection can be reduced by injecting the vaccine, but the effect of the injection depends on the position of the bite wound and the severity of the animal that bit it"
20,pls efek dari vaksin booster 2 jangan sama kaya booster 1 pls 😩,pls efek dari vaksin booster jangan sama kaya booster pls ,pls efek dari vaksin booster jangan sama kaya booster pls ,pls efek dari vaksin booster jangan sama kaya booster pls,"['pls', 'efek', 'dari', 'vaksin', 'booster', 'jangan', 'sama', 'kaya', 'booster', 'pls']","['pls', 'efek', 'vaksin', 'booster', 'jangan', 'sama', 'kaya', 'booster', 'pls']",pls the effect of the booster vaccine is not the same as the booster pls
